data_source_uuid,org_id,org_set_id,dataset_name,dataset_version,geom_type,geom_spec,boundary_type,has_attributes,geom_dependency_uuid,download_method,download_subtype,download_data_standard,download_filename,download_url,download_auth,documentation_url
7880,EPA,AQS,daily_aqi_by_county_2020,2020,,,county,1,10207,file,zip,csv,daily_aqi_by_county_2020.csv,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2020.zip,,https://www.epa.gov/aqs
7879,EPA,AQS,daily_aqi_by_county_2019,2019,,,county,1,10196,file,zip,csv,daily_aqi_by_county_2019.csv,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2019.zip,,https://www.epa.gov/aqs
7877,EPA,AQS,daily_aqi_by_county_2017,2017,,,county,1,10175,file,zip,csv,daily_aqi_by_county_2017.csv,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2017.zip,,https://www.epa.gov/aqs
7876,EPA,AQS,daily_aqi_by_county_2016,2016,,,county,1,10164,file,zip,csv,daily_aqi_by_county_2016.csv,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2016.zip,,https://www.epa.gov/aqs
7875,EPA,AQS,daily_aqi_by_county_2015,2015,,,county,1,10153,file,zip,csv,daily_aqi_by_county_2015.csv,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,,https://www.epa.gov/aqs
7874,EPA,AQS,daily_aqi_by_county_2014,2014,,,county,1,10142,file,zip,csv,daily_aqi_by_county_2014.csv,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2014.zip,,https://www.epa.gov/aqs
7873,EPA,AQS,daily_aqi_by_county_2013,2013,,,county,1,10131,file,zip,csv,daily_aqi_by_county_2013.csv,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2013.zip,,https://www.epa.gov/aqs
7872,EPA,AQS,daily_aqi_by_county_2012,2012,,,county,1,10120,file,zip,csv,daily_aqi_by_county_2012.csv,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2012.zip,,https://www.epa.gov/aqs
7871,EPA,AQS,daily_aqi_by_county_2011,2011,,,county,1,10111,file,zip,csv,daily_aqi_by_county_2011.csv,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2011.zip,,https://www.epa.gov/aqs
8888,EPA,AQS,annual_conc_by_cbsa_2018,2018,,,cbsa,1,10184,file,zip,csv,annual_aqi_by_cbsa_2018.csv,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_cbsa_2018.zip,,https://www.epa.gov/aqs
7777,EPA,AQS,annual_conc_by_monitor_2018,2018,point,,,1,7777,file,zip,csv,annual_conc_by_monitor_2018.csv,https://aqs.epa.gov/aqsweb/airdata/annual_conc_by_monitor_2018.zip,,https://www.epa.gov/aqs
1234,Census,TIGER/Line,us-county-2018,2018,polygon,"{""stage_transform"":[""dplyr::mutate(staged,geom_source_coding='GEOID',geom_source_value=GEOID,geom_name=dplyr::select(sf::st_drop_geometry(staged), n = if('NAME' %in% colnames(staged)) 'NAME' else 'NAMELSAD')$n,geom_local_value=geometry,geom_local_epsg=sf::st_crs(staged, paramaters=TRUE)$epsg)""]}",county,0,,file,zip,shp,tl_2018_us_county.shp,https://www2.census.gov/geo/tiger/TIGER2018/COUNTY/tl_2018_us_county.zip,,https://www.census.gov/geographies/mapping-files/time-series/geo/tiger-line-file.html
6666,WaterQualityData.us,WQX,station,,point,,,0,,API,zip,csv,station.csv,https://www.waterqualitydata.us/data/Station/search?mimeType=csv&zip=yes,,https://www.waterqualitydata.us/webservices_documentation
9999,CDC/ATSDR,SVI,us-county-2018,2018,,,county,1,1234,file,zip,gdb,SVI2018_US_county.gdb,https://svi.cdc.gov/Documents/Data/2018/db/states_counties/SVI_2018_US_county.zip,,https://www.atsdr.cdc.gov/placeandhealth/svi/index.html
5555,WaterQualityData.us,WQX,result,,,,,1,6666,API,zip,csv,result.csv,https://www.waterqualitydata.us/data/Result/search?characterticName={param1}&mimeType=csv&zip=yes,,https://www.waterqualitydata.us/webservices_documentation
10148,Census,TIGER/Line,us-zcta5-2014,2014,polygon,"{""stage_transform"":[""dplyr::mutate(staged,geom_source_coding='GEOID',geom_source_value=GEOID10,geom_local_value=geometry,geom_local_epsg=sf::st_crs(staged, paramaters=TRUE)$epsg)""]}",zcta5,0,,file,zip,shp,tl_2014_us_zcta510.shp,https://www2.census.gov/geo/tiger/TIGER2014/ZCTA5/tl_2014_us_zcta510.zip,,https://www.census.gov/geographies/mapping-files/time-series/geo/tiger-line-file.html
10159,Census,TIGER/Line,us-zcta5-2015,2015,polygon,"{""stage_transform"":[""dplyr::mutate(staged,geom_source_coding='GEOID',geom_source_value=GEOID10,geom_local_value=geometry,geom_local_epsg=sf::st_crs(staged, paramaters=TRUE)$epsg)""]}",zcta5,0,,file,zip,shp,tl_2015_us_zcta510.shp,https://www2.census.gov/geo/tiger/TIGER2015/ZCTA5/tl_2015_us_zcta510.zip,,https://www.census.gov/geographies/mapping-files/time-series/geo/tiger-line-file.html
7878,EPA,AQS,daily_aqi_by_county_2018,2018,,,county,1,1234,file,zip,csv,daily_aqi_by_county_2018.csv,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2018.zip,,https://www.epa.gov/aqs
10143,Census,TIGER/Line,us-metdiv-2014,2014,polygon,"{""stage_transform"":[""dplyr::mutate(staged,geom_source_coding='GEOID',geom_source_value=GEOID,geom_name=dplyr::select(sf::st_drop_geometry(staged), n = if('NAME' %in% colnames(staged)) 'NAME' else 'NAMELSAD')$n,geom_local_value=geometry,geom_local_epsg=sf::st_crs(staged, paramaters=TRUE)$epsg)""]}",metdiv,0,,file,zip,shp,tl_2014_us_metdiv.shp,https://www2.census.gov/geo/tiger/TIGER2014/METDIV/tl_2014_us_metdiv.zip,,https://www.census.gov/geographies/mapping-files/time-series/geo/tiger-line-file.html
10144,Census,TIGER/Line,us-state-2014,2014,polygon,"{""stage_transform"":[""dplyr::mutate(staged,geom_source_coding='GEOID',geom_source_value=GEOID,geom_name=dplyr::select(sf::st_drop_geometry(staged), n = if('NAME' %in% colnames(staged)) 'NAME' else 'NAMELSAD')$n,geom_local_value=geometry,geom_local_epsg=sf::st_crs(staged, paramaters=TRUE)$epsg)""]}",state,0,,file,zip,shp,tl_2014_us_state.shp,https://www2.census.gov/geo/tiger/TIGER2014/STATE/tl_2014_us_state.zip,,https://www.census.gov/geographies/mapping-files/time-series/geo/tiger-line-file.html
10191,Census,TIGER/Line,us-zcta5-2018,2018,polygon,"{""stage_transform"":[""dplyr::mutate(staged,geom_source_coding='GEOID',geom_source_value=GEOID10,geom_local_value=geometry,geom_local_epsg=sf::st_crs(staged, paramaters=TRUE)$epsg)""]}",zcta5,0,,file,zip,shp,tl_2018_us_zcta510.shp,https://www2.census.gov/geo/tiger/TIGER2018/ZCTA5/tl_2018_us_zcta510.zip,,https://www.census.gov/geographies/mapping-files/time-series/geo/tiger-line-file.html
10202,Census,TIGER/Line,us-zcta5-2019,2019,polygon,"{""stage_transform"":[""dplyr::mutate(staged,geom_source_coding='GEOID',geom_source_value=GEOID10,geom_local_value=geometry,geom_local_epsg=sf::st_crs(staged, paramaters=TRUE)$epsg)""]}",zcta5,0,,file,zip,shp,tl_2019_us_zcta510.shp,https://www2.census.gov/geo/tiger/TIGER2019/ZCTA5/tl_2019_us_zcta510.zip,,https://www.census.gov/geographies/mapping-files/time-series/geo/tiger-line-file.html
10149,Census,TIGER/Line,us-aiannh-2015,2015,polygon,"{""stage_transform"":[""dplyr::mutate(staged,geom_source_coding='GEOID',geom_source_value=GEOID,geom_name=dplyr::select(sf::st_drop_geometry(staged), n = if('NAME' %in% colnames(staged)) 'NAME' else 'NAMELSAD')$n,geom_local_value=geometry,geom_local_epsg=sf::st_crs(staged, paramaters=TRUE)$epsg)""]}",aiannh,0,,file,zip,shp,tl_2015_us_aiannh.shp,https://www2.census.gov/geo/tiger/TIGER2015/AIANNH/tl_2015_us_aiannh.zip,,https://www.census.gov/geographies/mapping-files/time-series/geo/tiger-line-file.html
10150,Census,TIGER/Line,us-aitsn-2015,2015,polygon,"{""stage_transform"":[""dplyr::mutate(staged,geom_source_coding='GEOID',geom_source_value=GEOID,geom_name=dplyr::select(sf::st_drop_geometry(staged), n = if('NAME' %in% colnames(staged)) 'NAME' else 'NAMELSAD')$n,geom_local_value=geometry,geom_local_epsg=sf::st_crs(staged, paramaters=TRUE)$epsg)""]}",aitsn,0,,file,zip,shp,tl_2015_us_aitsn.shp,https://www2.census.gov/geo/tiger/TIGER2015/AITSN/tl_2015_us_aitsn.zip,,https://www.census.gov/geographies/mapping-files/time-series/geo/tiger-line-file.html
10151,Census,TIGER/Line,us-cbsa-2015,2015,polygon,"{""stage_transform"":[""dplyr::mutate(staged,geom_source_coding='GEOID',geom_source_value=GEOID,geom_name=dplyr::select(sf::st_drop_geometry(staged), n = if('NAME' %in% colnames(staged)) 'NAME' else 'NAMELSAD')$n,geom_local_value=geometry,geom_local_epsg=sf::st_crs(staged, paramaters=TRUE)$epsg)""]}",cbsa,0,,file,zip,shp,tl_2015_us_cbsa.shp,https://www2.census.gov/geo/tiger/TIGER2015/CBSA/tl_2015_us_cbsa.zip,,https://www.census.gov/geographies/mapping-files/time-series/geo/tiger-line-file.html
10152,Census,TIGER/Line,us-csa-2015,2015,polygon,"{""stage_transform"":[""dplyr::mutate(staged,geom_source_coding='GEOID',geom_source_value=GEOID,geom_name=dplyr::select(sf::st_drop_geometry(staged), n = if('NAME' %in% colnames(staged)) 'NAME' else 'NAMELSAD')$n,geom_local_value=geometry,geom_local_epsg=sf::st_crs(staged, paramaters=TRUE)$epsg)""]}",csa,0,,file,zip,shp,tl_2015_us_csa.shp,https://www2.census.gov/geo/tiger/TIGER2015/CSA/tl_2015_us_csa.zip,,https://www.census.gov/geographies/mapping-files/time-series/geo/tiger-line-file.html
10153,Census,TIGER/Line,us-county-2015,2015,polygon,"{""stage_transform"":[""dplyr::mutate(staged,geom_source_coding='GEOID',geom_source_value=GEOID,geom_name=dplyr::select(sf::st_drop_geometry(staged), n = if('NAME' %in% colnames(staged)) 'NAME' else 'NAMELSAD')$n,geom_local_value=geometry,geom_local_epsg=sf::st_crs(staged, paramaters=TRUE)$epsg)""]}",county,0,,file,zip,shp,tl_2015_us_county.shp,https://www2.census.gov/geo/tiger/TIGER2015/COUNTY/tl_2015_us_county.zip,,https://www.census.gov/geographies/mapping-files/time-series/geo/tiger-line-file.html
10154,Census,TIGER/Line,us-metdiv-2015,2015,polygon,"{""stage_transform"":[""dplyr::mutate(staged,geom_source_coding='GEOID',geom_source_value=GEOID,geom_name=dplyr::select(sf::st_drop_geometry(staged), n = if('NAME' %in% colnames(staged)) 'NAME' else 'NAMELSAD')$n,geom_local_value=geometry,geom_local_epsg=sf::st_crs(staged, paramaters=TRUE)$epsg)""]}",metdiv,0,,file,zip,shp,tl_2015_us_metdiv.shp,https://www2.census.gov/geo/tiger/TIGER2015/METDIV/tl_2015_us_metdiv.zip,,https://www.census.gov/geographies/mapping-files/time-series/geo/tiger-line-file.html
10156,Census,TIGER/Line,us-tbg-2015,2015,polygon,"{""stage_transform"":[""dplyr::mutate(staged,geom_source_coding='GEOID',geom_source_value=GEOID,geom_name=dplyr::select(sf::st_drop_geometry(staged), n = if('NAME' %in% colnames(staged)) 'NAME' else 'NAMELSAD')$n,geom_local_value=geometry,geom_local_epsg=sf::st_crs(staged, paramaters=TRUE)$epsg)""]}",tbg,0,,file,zip,shp,tl_2015_us_tbg.shp,https://www2.census.gov/geo/tiger/TIGER2015/TBG/tl_2015_us_tbg.zip,,https://www.census.gov/geographies/mapping-files/time-series/geo/tiger-line-file.html
10157,Census,TIGER/Line,us-ttract-2015,2015,polygon,"{""stage_transform"":[""dplyr::mutate(staged,geom_source_coding='GEOID',geom_source_value=GEOID,geom_name=dplyr::select(sf::st_drop_geometry(staged), n = if('NAME' %in% colnames(staged)) 'NAME' else 'NAMELSAD')$n,geom_local_value=geometry,geom_local_epsg=sf::st_crs(staged, paramaters=TRUE)$epsg)""]}",ttract,0,,file,zip,shp,tl_2015_us_ttract.shp,https://www2.census.gov/geo/tiger/TIGER2015/TTRACT/tl_2015_us_ttract.zip,,https://www.census.gov/geographies/mapping-files/time-series/geo/tiger-line-file.html
10170,Census,TIGER/Line,us-zcta5-2016,2016,polygon,"{""stage_transform"":[""dplyr::mutate(staged,geom_source_coding='GEOID',geom_source_value=GEOID10,geom_local_value=geometry,geom_local_epsg=sf::st_crs(staged, paramaters=TRUE)$epsg)""]}",zcta5,0,,file,zip,shp,tl_2016_us_zcta510.shp,https://www2.census.gov/geo/tiger/TIGER2016/ZCTA5/tl_2016_us_zcta510.zip,,https://www.census.gov/geographies/mapping-files/time-series/geo/tiger-line-file.html
10181,Census,TIGER/Line,us-zcta5-2017,2017,polygon,"{""stage_transform"":[""dplyr::mutate(staged,geom_source_coding='GEOID',geom_source_value=GEOID10,geom_local_value=geometry,geom_local_epsg=sf::st_crs(staged, paramaters=TRUE)$epsg)""]}",zcta5,0,,file,zip,shp,tl_2017_us_zcta510.shp,https://www2.census.gov/geo/tiger/TIGER2017/ZCTA5/tl_2017_us_zcta510.zip,,https://www.census.gov/geographies/mapping-files/time-series/geo/tiger-line-file.html
7778,EPA,AQS,annual_conc_by_monitor_2018,2018,point,"{""stage_transform"":[""dplyr::mutate(staged,geom_source_coding='state_count_site',geom_source_value=paste0(staged$State.Code, '_', staged$County.Code, '_', staged$Site.Num),geom_name=Local.Site.Name,geom_local_value=sf::st_as_binary(sf::st_as_sf(staged, coords=c('Latitude', 'Longitude'))$geometry,EWKB=TRUE, hex=TRUE),geom_local_epsg=dplyr::left_join(staged['Datum'], tibble(Datum = c('NAD83', 'WGS84'), epsg = c(4326, 4269)))[['epsg']])""]}",,1,7778,file,zip,csv,annual_conc_by_monitor_2018.csv,https://aqs.epa.gov/aqsweb/airdata/annual_conc_by_monitor_2018.zip,,https://www.epa.gov/aqs
10169,Census,TIGER/Line,us-uac-2016,2016,polygon,"{""stage_transform"":[""dplyr::mutate(staged,geom_source_coding='GEOID',geom_source_value=GEOID10,geom_name=dplyr::select(sf::st_drop_geometry(staged), n = if('NAME10' %in% colnames(staged)) 'NAME10' else 'NAMELSAD10')$n,geom_local_value=geometry,geom_local_epsg=sf::st_crs(staged, paramaters=TRUE)$epsg)""]}",uac,0,,file,zip,shp,tl_2016_us_uac10.shp,https://www2.census.gov/geo/tiger/TIGER2016/UAC/tl_2016_us_uac10.zip,,https://www.census.gov/geographies/mapping-files/time-series/geo/tiger-line-file.html
10166,Census,TIGER/Line,us-state-2016,2016,polygon,"{""stage_transform"":[""dplyr::mutate(staged,geom_source_coding='GEOID',geom_source_value=GEOID,geom_name=dplyr::select(sf::st_drop_geometry(staged), n = if('NAME' %in% colnames(staged)) 'NAME' else 'NAMELSAD')$n,geom_local_value=geometry,geom_local_epsg=sf::st_crs(staged, paramaters=TRUE)$epsg)""]}",state,0,,file,zip,shp,tl_2016_us_state.shp,https://www2.census.gov/geo/tiger/TIGER2016/STATE/tl_2016_us_state.zip,,https://www.census.gov/geographies/mapping-files/time-series/geo/tiger-line-file.html
10167,Census,TIGER/Line,us-tbg-2016,2016,polygon,"{""stage_transform"":[""dplyr::mutate(staged,geom_source_coding='GEOID',geom_source_value=GEOID,geom_name=dplyr::select(sf::st_drop_geometry(staged), n = if('NAME' %in% colnames(staged)) 'NAME' else 'NAMELSAD')$n,geom_local_value=geometry,geom_local_epsg=sf::st_crs(staged, paramaters=TRUE)$epsg)""]}",tbg,0,,file,zip,shp,tl_2016_us_tbg.shp,https://www2.census.gov/geo/tiger/TIGER2016/TBG/tl_2016_us_tbg.zip,,https://www.census.gov/geographies/mapping-files/time-series/geo/tiger-line-file.html
10138,Census,TIGER/Line,us-aiannh-2014,2014,polygon,"{""stage_transform"":[""dplyr::mutate(staged,geom_source_coding='GEOID',geom_source_value=GEOID,geom_name=dplyr::select(sf::st_drop_geometry(staged), n = if('NAME' %in% colnames(staged)) 'NAME' else 'NAMELSAD')$n,geom_local_value=geometry,geom_local_epsg=sf::st_crs(staged, paramaters=TRUE)$epsg)""]}",aiannh,0,,file,zip,shp,tl_2014_us_aiannh.shp,https://www2.census.gov/geo/tiger/TIGER2014/AIANNH/tl_2014_us_aiannh.zip,,https://www.census.gov/geographies/mapping-files/time-series/geo/tiger-line-file.html
10139,Census,TIGER/Line,us-aitsn-2014,2014,polygon,"{""stage_transform"":[""dplyr::mutate(staged,geom_source_coding='GEOID',geom_source_value=GEOID,geom_name=dplyr::select(sf::st_drop_geometry(staged), n = if('NAME' %in% colnames(staged)) 'NAME' else 'NAMELSAD')$n,geom_local_value=geometry,geom_local_epsg=sf::st_crs(staged, paramaters=TRUE)$epsg)""]}",aitsn,0,,file,zip,shp,tl_2014_us_aitsn.shp,https://www2.census.gov/geo/tiger/TIGER2014/AITS/tl_2014_us_aitsn.zip,,https://www.census.gov/geographies/mapping-files/time-series/geo/tiger-line-file.html
10140,Census,TIGER/Line,us-cbsa-2014,2014,polygon,"{""stage_transform"":[""dplyr::mutate(staged,geom_source_coding='GEOID',geom_source_value=GEOID,geom_name=dplyr::select(sf::st_drop_geometry(staged), n = if('NAME' %in% colnames(staged)) 'NAME' else 'NAMELSAD')$n,geom_local_value=geometry,geom_local_epsg=sf::st_crs(staged, paramaters=TRUE)$epsg)""]}",cbsa,0,,file,zip,shp,tl_2014_us_cbsa.shp,https://www2.census.gov/geo/tiger/TIGER2014/CBSA/tl_2014_us_cbsa.zip,,https://www.census.gov/geographies/mapping-files/time-series/geo/tiger-line-file.html
10141,Census,TIGER/Line,us-csa-2014,2014,polygon,"{""stage_transform"":[""dplyr::mutate(staged,geom_source_coding='GEOID',geom_source_value=GEOID,geom_name=dplyr::select(sf::st_drop_geometry(staged), n = if('NAME' %in% colnames(staged)) 'NAME' else 'NAMELSAD')$n,geom_local_value=geometry,geom_local_epsg=sf::st_crs(staged, paramaters=TRUE)$epsg)""]}",csa,0,,file,zip,shp,tl_2014_us_csa.shp,https://www2.census.gov/geo/tiger/TIGER2014/CSA/tl_2014_us_csa.zip,,https://www.census.gov/geographies/mapping-files/time-series/geo/tiger-line-file.html
10142,Census,TIGER/Line,us-county-2014,2014,polygon,"{""stage_transform"":[""dplyr::mutate(staged,geom_source_coding='GEOID',geom_source_value=GEOID,geom_name=dplyr::select(sf::st_drop_geometry(staged), n = if('NAME' %in% colnames(staged)) 'NAME' else 'NAMELSAD')$n,geom_local_value=geometry,geom_local_epsg=sf::st_crs(staged, paramaters=TRUE)$epsg)""]}",county,0,,file,zip,shp,tl_2014_us_county.shp,https://www2.census.gov/geo/tiger/TIGER2014/COUNTY/tl_2014_us_county.zip,,https://www.census.gov/geographies/mapping-files/time-series/geo/tiger-line-file.html
10175,Census,TIGER/Line,us-county-2017,2017,polygon,"{""stage_transform"":[""dplyr::mutate(staged,geom_source_coding='GEOID',geom_source_value=GEOID,geom_name=dplyr::select(sf::st_drop_geometry(staged), n = if('NAME' %in% colnames(staged)) 'NAME' else 'NAMELSAD')$n,geom_local_value=geometry,geom_local_epsg=sf::st_crs(staged, paramaters=TRUE)$epsg)""]}",county,0,,file,zip,shp,tl_2017_us_county.shp,https://www2.census.gov/geo/tiger/TIGER2017/COUNTY/tl_2017_us_county.zip,,https://www.census.gov/geographies/mapping-files/time-series/geo/tiger-line-file.html
10176,Census,TIGER/Line,us-metdiv-2017,2017,polygon,"{""stage_transform"":[""dplyr::mutate(staged,geom_source_coding='GEOID',geom_source_value=GEOID,geom_name=dplyr::select(sf::st_drop_geometry(staged), n = if('NAME' %in% colnames(staged)) 'NAME' else 'NAMELSAD')$n,geom_local_value=geometry,geom_local_epsg=sf::st_crs(staged, paramaters=TRUE)$epsg)""]}",metdiv,0,,file,zip,shp,tl_2017_us_metdiv.shp,https://www2.census.gov/geo/tiger/TIGER2017/METDIV/tl_2017_us_metdiv.zip,,https://www.census.gov/geographies/mapping-files/time-series/geo/tiger-line-file.html
10177,Census,TIGER/Line,us-state-2017,2017,polygon,"{""stage_transform"":[""dplyr::mutate(staged,geom_source_coding='GEOID',geom_source_value=GEOID,geom_name=dplyr::select(sf::st_drop_geometry(staged), n = if('NAME' %in% colnames(staged)) 'NAME' else 'NAMELSAD')$n,geom_local_value=geometry,geom_local_epsg=sf::st_crs(staged, paramaters=TRUE)$epsg)""]}",state,0,,file,zip,shp,tl_2017_us_state.shp,https://www2.census.gov/geo/tiger/TIGER2017/STATE/tl_2017_us_state.zip,,https://www.census.gov/geographies/mapping-files/time-series/geo/tiger-line-file.html
10178,Census,TIGER/Line,us-tbg-2017,2017,polygon,"{""stage_transform"":[""dplyr::mutate(staged,geom_source_coding='GEOID',geom_source_value=GEOID,geom_name=dplyr::select(sf::st_drop_geometry(staged), n = if('NAME' %in% colnames(staged)) 'NAME' else 'NAMELSAD')$n,geom_local_value=geometry,geom_local_epsg=sf::st_crs(staged, paramaters=TRUE)$epsg)""]}",tbg,0,,file,zip,shp,tl_2017_us_tbg.shp,https://www2.census.gov/geo/tiger/TIGER2017/TBG/tl_2017_us_tbg.zip,,https://www.census.gov/geographies/mapping-files/time-series/geo/tiger-line-file.html
10179,Census,TIGER/Line,us-ttract-2017,2017,polygon,"{""stage_transform"":[""dplyr::mutate(staged,geom_source_coding='GEOID',geom_source_value=GEOID,geom_name=dplyr::select(sf::st_drop_geometry(staged), n = if('NAME' %in% colnames(staged)) 'NAME' else 'NAMELSAD')$n,geom_local_value=geometry,geom_local_epsg=sf::st_crs(staged, paramaters=TRUE)$epsg)""]}",ttract,0,,file,zip,shp,tl_2017_us_ttract.shp,https://www2.census.gov/geo/tiger/TIGER2017/TTRACT/tl_2017_us_ttract.zip,,https://www.census.gov/geographies/mapping-files/time-series/geo/tiger-line-file.html
10180,Census,TIGER/Line,us-uac-2017,2017,polygon,"{""stage_transform"":[""dplyr::mutate(staged,geom_source_coding='GEOID',geom_source_value=GEOID10,geom_name=dplyr::select(sf::st_drop_geometry(staged), n = if('NAME10' %in% colnames(staged)) 'NAME10' else 'NAMELSAD10')$n,geom_local_value=geometry,geom_local_epsg=sf::st_crs(staged, paramaters=TRUE)$epsg)""]}",uac,0,,file,zip,shp,tl_2017_us_uac10.shp,https://www2.census.gov/geo/tiger/TIGER2017/UAC/tl_2017_us_uac10.zip,,https://www.census.gov/geographies/mapping-files/time-series/geo/tiger-line-file.html
10183,Census,TIGER/Line,us-aitsn-2018,2018,polygon,"{""stage_transform"":[""dplyr::mutate(staged,geom_source_coding='GEOID',geom_source_value=GEOID,geom_name=dplyr::select(sf::st_drop_geometry(staged), n = if('NAME' %in% colnames(staged)) 'NAME' else 'NAMELSAD')$n,geom_local_value=geometry,geom_local_epsg=sf::st_crs(staged, paramaters=TRUE)$epsg)""]}",aitsn,0,,file,zip,shp,tl_2018_us_aitsn.shp,https://www2.census.gov/geo/tiger/TIGER2018/AITSN/tl_2018_us_aitsn.zip,,https://www.census.gov/geographies/mapping-files/time-series/geo/tiger-line-file.html
10186,Census,TIGER/Line,us-metdiv-2018,2018,polygon,"{""stage_transform"":[""dplyr::mutate(staged,geom_source_coding='GEOID',geom_source_value=GEOID,geom_name=dplyr::select(sf::st_drop_geometry(staged), n = if('NAME' %in% colnames(staged)) 'NAME' else 'NAMELSAD')$n,geom_local_value=geometry,geom_local_epsg=sf::st_crs(staged, paramaters=TRUE)$epsg)""]}",metdiv,0,,file,zip,shp,tl_2018_us_metdiv.shp,https://www2.census.gov/geo/tiger/TIGER2018/METDIV/tl_2018_us_metdiv.zip,,https://www.census.gov/geographies/mapping-files/time-series/geo/tiger-line-file.html
10187,Census,TIGER/Line,us-state-2018,2018,polygon,"{""stage_transform"":[""dplyr::mutate(staged,geom_source_coding='GEOID',geom_source_value=GEOID,geom_name=dplyr::select(sf::st_drop_geometry(staged), n = if('NAME' %in% colnames(staged)) 'NAME' else 'NAMELSAD')$n,geom_local_value=geometry,geom_local_epsg=sf::st_crs(staged, paramaters=TRUE)$epsg)""]}",state,0,,file,zip,shp,tl_2018_us_state.shp,https://www2.census.gov/geo/tiger/TIGER2018/STATE/tl_2018_us_state.zip,,https://www.census.gov/geographies/mapping-files/time-series/geo/tiger-line-file.html
10188,Census,TIGER/Line,us-tbg-2018,2018,polygon,"{""stage_transform"":[""dplyr::mutate(staged,geom_source_coding='GEOID',geom_source_value=GEOID,geom_name=dplyr::select(sf::st_drop_geometry(staged), n = if('NAME' %in% colnames(staged)) 'NAME' else 'NAMELSAD')$n,geom_local_value=geometry,geom_local_epsg=sf::st_crs(staged, paramaters=TRUE)$epsg)""]}",tbg,0,,file,zip,shp,tl_2018_us_tbg.shp,https://www2.census.gov/geo/tiger/TIGER2018/TBG/tl_2018_us_tbg.zip,,https://www.census.gov/geographies/mapping-files/time-series/geo/tiger-line-file.html
10189,Census,TIGER/Line,us-ttract-2018,2018,polygon,"{""stage_transform"":[""dplyr::mutate(staged,geom_source_coding='GEOID',geom_source_value=GEOID,geom_name=dplyr::select(sf::st_drop_geometry(staged), n = if('NAME' %in% colnames(staged)) 'NAME' else 'NAMELSAD')$n,geom_local_value=geometry,geom_local_epsg=sf::st_crs(staged, paramaters=TRUE)$epsg)""]}",ttract,0,,file,zip,shp,tl_2018_us_ttract.shp,https://www2.census.gov/geo/tiger/TIGER2018/TTRACT/tl_2018_us_ttract.zip,,https://www.census.gov/geographies/mapping-files/time-series/geo/tiger-line-file.html
10192,Census,TIGER/Line,us-aiannh-2019,2019,polygon,"{""stage_transform"":[""dplyr::mutate(staged,geom_source_coding='GEOID',geom_source_value=GEOID,geom_name=dplyr::select(sf::st_drop_geometry(staged), n = if('NAME' %in% colnames(staged)) 'NAME' else 'NAMELSAD')$n,geom_local_value=geometry,geom_local_epsg=sf::st_crs(staged, paramaters=TRUE)$epsg)""]}",aiannh,0,,file,zip,shp,tl_2019_us_aiannh.shp,https://www2.census.gov/geo/tiger/TIGER2019/AIANNH/tl_2019_us_aiannh.zip,,https://www.census.gov/geographies/mapping-files/time-series/geo/tiger-line-file.html
