variable_source_id,geom_dependency_uuid,variable_name,variable_desc,data_source_uuid,attr_spec
1,911,EPL_POV,Percentile Percentage of persons below poverty estimate,311,"{""stage_transform"":[""dplyr::mutate(staged,geom_join_column=FIPS, attr_concept_id=2000000001, attr_start_date=as.Date('2018-01-01'),attr_end_date=as.Date('2018-12-31'),value_as_number=EPL_POV, unit_concept_id=8554, attr_source_value='EPL_POV',value_source_value=EPL_POV)""]}"
12,7861,Daily Average Outdoor Temperature,Daily average outdoor temperature measured in degrees fahrenheit,7861,"{""stage_transform"":[""dplyr::mutate(staged,geom_join_column=paste0(stringr::str_pad(`State Code`,width=2,pad=0),stringr::str_pad(`County Code`,width=3,pad=0),stringr::str_pad(`Site Num`,width=4,pad=0)),attr_start_date=as.Date(`Date Local`),attr_end_date=as.Date(`Date Local`),value_as_number=`Arithmetic Mean`,attr_source_value='Daily Average Outdoor Temperature',value_source_value=`Arithmetic Mean`)""]}"
11,7861,Daily Maximum Outdoor Temperature,Daily average outdoor temperature measured in degrees fahrenheit,7861,"{""stage_transform"":[""dplyr::mutate(staged,geom_join_column=paste0(stringr::str_pad(`State Code`,width=2,pad=0),stringr::str_pad(`County Code`,width=3,pad=0),stringr::str_pad(`Site Num`,width=4,pad=0)),attr_start_date=as.Date(`Date Local`),attr_end_date=as.Date(`Date Local`),value_as_number=`1st Max Value`,attr_source_value='Daily Maximum Outdoor Temperature',value_source_value=`1st Max Value`)""]}"
14,7862,Daily Average Outdoor Temperature,Daily average outdoor temperature measured in degrees fahrenheit,7862,"{""stage_transform"":[""dplyr::mutate(staged,geom_join_column=paste0(stringr::str_pad(`State Code`,width=2,pad=0),stringr::str_pad(`County Code`,width=3,pad=0),stringr::str_pad(`Site Num`,width=4,pad=0)),attr_start_date=as.Date(`Date Local`),attr_end_date=as.Date(`Date Local`),value_as_number=`Arithmetic Mean`,attr_source_value='Daily Average Outdoor Temperature',value_source_value=`Arithmetic Mean`)""]}"
13,7862,Daily Maximum Outdoor Temperature,Daily average outdoor temperature measured in degrees fahrenheit,7862,"{""stage_transform"":[""dplyr::mutate(staged,geom_join_column=paste0(stringr::str_pad(`State Code`,width=2,pad=0),stringr::str_pad(`County Code`,width=3,pad=0),stringr::str_pad(`Site Num`,width=4,pad=0)),attr_start_date=as.Date(`Date Local`),attr_end_date=as.Date(`Date Local`),value_as_number=`1st Max Value`,attr_source_value='Daily Maximum Outdoor Temperature',value_source_value=`1st Max Value`)""]}"
16,7863,Daily Average Outdoor Temperature,Daily average outdoor temperature measured in degrees fahrenheit,7863,"{""stage_transform"":[""dplyr::mutate(staged,geom_join_column=paste0(stringr::str_pad(`State Code`,width=2,pad=0),stringr::str_pad(`County Code`,width=3,pad=0),stringr::str_pad(`Site Num`,width=4,pad=0)),attr_start_date=as.Date(`Date Local`),attr_end_date=as.Date(`Date Local`),value_as_number=`Arithmetic Mean`,attr_source_value='Daily Average Outdoor Temperature',value_source_value=`Arithmetic Mean`)""]}"
15,7863,Daily Maximum Outdoor Temperature,Daily average outdoor temperature measured in degrees fahrenheit,7863,"{""stage_transform"":[""dplyr::mutate(staged,geom_join_column=paste0(stringr::str_pad(`State Code`,width=2,pad=0),stringr::str_pad(`County Code`,width=3,pad=0),stringr::str_pad(`Site Num`,width=4,pad=0)),attr_start_date=as.Date(`Date Local`),attr_end_date=as.Date(`Date Local`),value_as_number=`1st Max Value`,attr_source_value='Daily Maximum Outdoor Temperature',value_source_value=`1st Max Value`)""]}"
18,7864,Daily Average Outdoor Temperature,Daily average outdoor temperature measured in degrees fahrenheit,7864,"{""stage_transform"":[""dplyr::mutate(staged,geom_join_column=paste0(stringr::str_pad(`State Code`,width=2,pad=0),stringr::str_pad(`County Code`,width=3,pad=0),stringr::str_pad(`Site Num`,width=4,pad=0)),attr_start_date=as.Date(`Date Local`),attr_end_date=as.Date(`Date Local`),value_as_number=`Arithmetic Mean`,attr_source_value='Daily Average Outdoor Temperature',value_source_value=`Arithmetic Mean`)""]}"
17,7864,Daily Maximum Outdoor Temperature,Daily average outdoor temperature measured in degrees fahrenheit,7864,"{""stage_transform"":[""dplyr::mutate(staged,geom_join_column=paste0(stringr::str_pad(`State Code`,width=2,pad=0),stringr::str_pad(`County Code`,width=3,pad=0),stringr::str_pad(`Site Num`,width=4,pad=0)),attr_start_date=as.Date(`Date Local`),attr_end_date=as.Date(`Date Local`),value_as_number=`1st Max Value`,attr_source_value='Daily Maximum Outdoor Temperature',value_source_value=`1st Max Value`)""]}"
20,7865,Daily Average Outdoor Temperature,Daily average outdoor temperature measured in degrees fahrenheit,7865,"{""stage_transform"":[""dplyr::mutate(staged,geom_join_column=paste0(stringr::str_pad(`State Code`,width=2,pad=0),stringr::str_pad(`County Code`,width=3,pad=0),stringr::str_pad(`Site Num`,width=4,pad=0)),attr_start_date=as.Date(`Date Local`),attr_end_date=as.Date(`Date Local`),value_as_number=`Arithmetic Mean`,attr_source_value='Daily Average Outdoor Temperature',value_source_value=`Arithmetic Mean`)""]}"
19,7865,Daily Maximum Outdoor Temperature,Daily average outdoor temperature measured in degrees fahrenheit,7865,"{""stage_transform"":[""dplyr::mutate(staged,geom_join_column=paste0(stringr::str_pad(`State Code`,width=2,pad=0),stringr::str_pad(`County Code`,width=3,pad=0),stringr::str_pad(`Site Num`,width=4,pad=0)),attr_start_date=as.Date(`Date Local`),attr_end_date=as.Date(`Date Local`),value_as_number=`1st Max Value`,attr_source_value='Daily Maximum Outdoor Temperature',value_source_value=`1st Max Value`)""]}"
22,7866,Daily Average Outdoor Temperature,Daily average outdoor temperature measured in degrees fahrenheit,7866,"{""stage_transform"":[""dplyr::mutate(staged,geom_join_column=paste0(stringr::str_pad(`State Code`,width=2,pad=0),stringr::str_pad(`County Code`,width=3,pad=0),stringr::str_pad(`Site Num`,width=4,pad=0)),attr_start_date=as.Date(`Date Local`),attr_end_date=as.Date(`Date Local`),value_as_number=`Arithmetic Mean`,attr_source_value='Daily Average Outdoor Temperature',value_source_value=`Arithmetic Mean`)""]}"
21,7866,Daily Maximum Outdoor Temperature,Daily average outdoor temperature measured in degrees fahrenheit,7866,"{""stage_transform"":[""dplyr::mutate(staged,geom_join_column=paste0(stringr::str_pad(`State Code`,width=2,pad=0),stringr::str_pad(`County Code`,width=3,pad=0),stringr::str_pad(`Site Num`,width=4,pad=0)),attr_start_date=as.Date(`Date Local`),attr_end_date=as.Date(`Date Local`),value_as_number=`1st Max Value`,attr_source_value='Daily Maximum Outdoor Temperature',value_source_value=`1st Max Value`)""]}"
24,7867,Daily Average Outdoor Temperature,Daily average outdoor temperature measured in degrees fahrenheit,7867,"{""stage_transform"":[""dplyr::mutate(staged,geom_join_column=paste0(stringr::str_pad(`State Code`,width=2,pad=0),stringr::str_pad(`County Code`,width=3,pad=0),stringr::str_pad(`Site Num`,width=4,pad=0)),attr_start_date=as.Date(`Date Local`),attr_end_date=as.Date(`Date Local`),value_as_number=`Arithmetic Mean`,attr_source_value='Daily Average Outdoor Temperature',value_source_value=`Arithmetic Mean`)""]}"
23,7867,Daily Maximum Outdoor Temperature,Daily average outdoor temperature measured in degrees fahrenheit,7867,"{""stage_transform"":[""dplyr::mutate(staged,geom_join_column=paste0(stringr::str_pad(`State Code`,width=2,pad=0),stringr::str_pad(`County Code`,width=3,pad=0),stringr::str_pad(`Site Num`,width=4,pad=0)),attr_start_date=as.Date(`Date Local`),attr_end_date=as.Date(`Date Local`),value_as_number=`1st Max Value`,attr_source_value='Daily Maximum Outdoor Temperature',value_source_value=`1st Max Value`)""]}"
26,7868,Daily Average Outdoor Temperature,Daily average outdoor temperature measured in degrees fahrenheit,7868,"{""stage_transform"":[""dplyr::mutate(staged,geom_join_column=paste0(stringr::str_pad(`State Code`,width=2,pad=0),stringr::str_pad(`County Code`,width=3,pad=0),stringr::str_pad(`Site Num`,width=4,pad=0)),attr_start_date=as.Date(`Date Local`),attr_end_date=as.Date(`Date Local`),value_as_number=`Arithmetic Mean`,attr_source_value='Daily Average Outdoor Temperature',value_source_value=`Arithmetic Mean`)""]}"
25,7868,Daily Maximum Outdoor Temperature,Daily average outdoor temperature measured in degrees fahrenheit,7868,"{""stage_transform"":[""dplyr::mutate(staged,geom_join_column=paste0(stringr::str_pad(`State Code`,width=2,pad=0),stringr::str_pad(`County Code`,width=3,pad=0),stringr::str_pad(`Site Num`,width=4,pad=0)),attr_start_date=as.Date(`Date Local`),attr_end_date=as.Date(`Date Local`),value_as_number=`1st Max Value`,attr_source_value='Daily Maximum Outdoor Temperature',value_source_value=`1st Max Value`)""]}"
28,7869,Daily Average Outdoor Temperature,Daily average outdoor temperature measured in degrees fahrenheit,7869,"{""stage_transform"":[""dplyr::mutate(staged,geom_join_column=paste0(stringr::str_pad(`State Code`,width=2,pad=0),stringr::str_pad(`County Code`,width=3,pad=0),stringr::str_pad(`Site Num`,width=4,pad=0)),attr_start_date=as.Date(`Date Local`),attr_end_date=as.Date(`Date Local`),value_as_number=`Arithmetic Mean`,attr_source_value='Daily Average Outdoor Temperature',value_source_value=`Arithmetic Mean`)""]}"
27,7869,Daily Maximum Outdoor Temperature,Daily average outdoor temperature measured in degrees fahrenheit,7869,"{""stage_transform"":[""dplyr::mutate(staged,geom_join_column=paste0(stringr::str_pad(`State Code`,width=2,pad=0),stringr::str_pad(`County Code`,width=3,pad=0),stringr::str_pad(`Site Num`,width=4,pad=0)),attr_start_date=as.Date(`Date Local`),attr_end_date=as.Date(`Date Local`),value_as_number=`1st Max Value`,attr_source_value='Daily Maximum Outdoor Temperature',value_source_value=`1st Max Value`)""]}"
30,7870,Daily Average Outdoor Temperature,Daily average outdoor temperature measured in degrees fahrenheit,7870,"{""stage_transform"":[""dplyr::mutate(staged,geom_join_column=paste0(stringr::str_pad(`State Code`,width=2,pad=0),stringr::str_pad(`County Code`,width=3,pad=0),stringr::str_pad(`Site Num`,width=4,pad=0)),attr_start_date=as.Date(`Date Local`),attr_end_date=as.Date(`Date Local`),value_as_number=`Arithmetic Mean`,attr_source_value='Daily Average Outdoor Temperature',value_source_value=`Arithmetic Mean`)""]}"
29,7870,Daily Maximum Outdoor Temperature,Daily average outdoor temperature measured in degrees fahrenheit,7870,"{""stage_transform"":[""dplyr::mutate(staged,geom_join_column=paste0(stringr::str_pad(`State Code`,width=2,pad=0),stringr::str_pad(`County Code`,width=3,pad=0),stringr::str_pad(`Site Num`,width=4,pad=0)),attr_start_date=as.Date(`Date Local`),attr_end_date=as.Date(`Date Local`),value_as_number=`1st Max Value`,attr_source_value='Daily Maximum Outdoor Temperature',value_source_value=`1st Max Value`)""]}"
61,10111,NO2,The Air Quality Index for the day for NO2,7871,"{""stage_transform"":[""dplyr::filter(staged,`Defining Parameter`=='NO2')"",""dplyr::mutate(staged,geom_join_column=paste0(stringr::str_pad(`State Code`,width=2,pad=0),stringr::str_pad(`County Code`,width=3,pad=0)),attr_start_date=as.Date(Date),attr_end_date=as.Date(Date),value_as_number=AQI,attr_source_value='NO2',value_source_value=AQI)""]}"
71,10111,CO,The Air Quality Index for the day for CO,7871,"{""stage_transform"":[""dplyr::filter(staged,`Defining Parameter`=='CO')"",""dplyr::mutate(staged,geom_join_column=paste0(stringr::str_pad(`State Code`,width=2,pad=0),stringr::str_pad(`County Code`,width=3,pad=0)),attr_start_date=as.Date(Date),attr_end_date=as.Date(Date),value_as_number=AQI,attr_source_value='CO',value_source_value=AQI)""]}"
51,10111,Ozone,The Air Quality Index for the day for Ozone,7871,"{""stage_transform"":[""dplyr::filter(staged,`Defining Parameter`=='Ozone')"",""dplyr::mutate(staged,geom_join_column=paste0(stringr::str_pad(`State Code`,width=2,pad=0),stringr::str_pad(`County Code`,width=3,pad=0)),attr_start_date=as.Date(Date),attr_end_date=as.Date(Date),value_as_number=AQI,attr_source_value='Ozone',value_source_value=AQI)""]}"
41,10111,PM10,The Air Quality Index for the day for PM10,7871,"{""stage_transform"":[""dplyr::filter(staged,`Defining Parameter`=='PM10')"",""dplyr::mutate(staged,geom_join_column=paste0(stringr::str_pad(`State Code`,width=2,pad=0),stringr::str_pad(`County Code`,width=3,pad=0)),attr_start_date=as.Date(Date),attr_end_date=as.Date(Date),value_as_number=AQI,attr_source_value='PM10',value_source_value=AQI)""]}"
31,10111,PM2.5,The Air Quality Index for the day for PM2.5,7871,"{""stage_transform"":[""dplyr::filter(staged,`Defining Parameter`=='PM2.5')"",""dplyr::mutate(staged,geom_join_column=paste0(stringr::str_pad(`State Code`,width=2,pad=0),stringr::str_pad(`County Code`,width=3,pad=0)),attr_start_date=as.Date(Date),attr_end_date=as.Date(Date),value_as_number=AQI,attr_source_value='PM2.5',value_source_value=AQI)""]}"
62,10120,NO2,The Air Quality Index for the day for NO2,7872,"{""stage_transform"":[""dplyr::filter(staged,`Defining Parameter`=='NO2')"",""dplyr::mutate(staged,geom_join_column=paste0(stringr::str_pad(`State Code`,width=2,pad=0),stringr::str_pad(`County Code`,width=3,pad=0)),attr_start_date=as.Date(Date),attr_end_date=as.Date(Date),value_as_number=AQI,attr_source_value='NO2',value_source_value=AQI)""]}"
72,10120,CO,The Air Quality Index for the day for CO,7872,"{""stage_transform"":[""dplyr::filter(staged,`Defining Parameter`=='CO')"",""dplyr::mutate(staged,geom_join_column=paste0(stringr::str_pad(`State Code`,width=2,pad=0),stringr::str_pad(`County Code`,width=3,pad=0)),attr_start_date=as.Date(Date),attr_end_date=as.Date(Date),value_as_number=AQI,attr_source_value='CO',value_source_value=AQI)""]}"
52,10120,Ozone,The Air Quality Index for the day for Ozone,7872,"{""stage_transform"":[""dplyr::filter(staged,`Defining Parameter`=='Ozone')"",""dplyr::mutate(staged,geom_join_column=paste0(stringr::str_pad(`State Code`,width=2,pad=0),stringr::str_pad(`County Code`,width=3,pad=0)),attr_start_date=as.Date(Date),attr_end_date=as.Date(Date),value_as_number=AQI,attr_source_value='Ozone',value_source_value=AQI)""]}"
42,10120,PM10,The Air Quality Index for the day for PM10,7872,"{""stage_transform"":[""dplyr::filter(staged,`Defining Parameter`=='PM10')"",""dplyr::mutate(staged,geom_join_column=paste0(stringr::str_pad(`State Code`,width=2,pad=0),stringr::str_pad(`County Code`,width=3,pad=0)),attr_start_date=as.Date(Date),attr_end_date=as.Date(Date),value_as_number=AQI,attr_source_value='PM10',value_source_value=AQI)""]}"
32,10120,PM2.5,The Air Quality Index for the day for PM2.5,7872,"{""stage_transform"":[""dplyr::filter(staged,`Defining Parameter`=='PM2.5')"",""dplyr::mutate(staged,geom_join_column=paste0(stringr::str_pad(`State Code`,width=2,pad=0),stringr::str_pad(`County Code`,width=3,pad=0)),attr_start_date=as.Date(Date),attr_end_date=as.Date(Date),value_as_number=AQI,attr_source_value='PM2.5',value_source_value=AQI)""]}"
63,10131,NO2,The Air Quality Index for the day for NO2,7873,"{""stage_transform"":[""dplyr::filter(staged,`Defining Parameter`=='NO2')"",""dplyr::mutate(staged,geom_join_column=paste0(stringr::str_pad(`State Code`,width=2,pad=0),stringr::str_pad(`County Code`,width=3,pad=0)),attr_start_date=as.Date(Date),attr_end_date=as.Date(Date),value_as_number=AQI,attr_source_value='NO2',value_source_value=AQI)""]}"
73,10131,CO,The Air Quality Index for the day for CO,7873,"{""stage_transform"":[""dplyr::filter(staged,`Defining Parameter`=='CO')"",""dplyr::mutate(staged,geom_join_column=paste0(stringr::str_pad(`State Code`,width=2,pad=0),stringr::str_pad(`County Code`,width=3,pad=0)),attr_start_date=as.Date(Date),attr_end_date=as.Date(Date),value_as_number=AQI,attr_source_value='CO',value_source_value=AQI)""]}"
53,10131,Ozone,The Air Quality Index for the day for Ozone,7873,"{""stage_transform"":[""dplyr::filter(staged,`Defining Parameter`=='Ozone')"",""dplyr::mutate(staged,geom_join_column=paste0(stringr::str_pad(`State Code`,width=2,pad=0),stringr::str_pad(`County Code`,width=3,pad=0)),attr_start_date=as.Date(Date),attr_end_date=as.Date(Date),value_as_number=AQI,attr_source_value='Ozone',value_source_value=AQI)""]}"
43,10131,PM10,The Air Quality Index for the day for PM10,7873,"{""stage_transform"":[""dplyr::filter(staged,`Defining Parameter`=='PM10')"",""dplyr::mutate(staged,geom_join_column=paste0(stringr::str_pad(`State Code`,width=2,pad=0),stringr::str_pad(`County Code`,width=3,pad=0)),attr_start_date=as.Date(Date),attr_end_date=as.Date(Date),value_as_number=AQI,attr_source_value='PM10',value_source_value=AQI)""]}"
33,10131,PM2.5,The Air Quality Index for the day for PM2.5,7873,"{""stage_transform"":[""dplyr::filter(staged,`Defining Parameter`=='PM2.5')"",""dplyr::mutate(staged,geom_join_column=paste0(stringr::str_pad(`State Code`,width=2,pad=0),stringr::str_pad(`County Code`,width=3,pad=0)),attr_start_date=as.Date(Date),attr_end_date=as.Date(Date),value_as_number=AQI,attr_source_value='PM2.5',value_source_value=AQI)""]}"
64,10142,NO2,The Air Quality Index for the day for NO2,7874,"{""stage_transform"":[""dplyr::filter(staged,`Defining Parameter`=='NO2')"",""dplyr::mutate(staged,geom_join_column=paste0(stringr::str_pad(`State Code`,width=2,pad=0),stringr::str_pad(`County Code`,width=3,pad=0)),attr_start_date=as.Date(Date),attr_end_date=as.Date(Date),value_as_number=AQI,attr_source_value='NO2',value_source_value=AQI)""]}"
74,10142,CO,The Air Quality Index for the day for CO,7874,"{""stage_transform"":[""dplyr::filter(staged,`Defining Parameter`=='CO')"",""dplyr::mutate(staged,geom_join_column=paste0(stringr::str_pad(`State Code`,width=2,pad=0),stringr::str_pad(`County Code`,width=3,pad=0)),attr_start_date=as.Date(Date),attr_end_date=as.Date(Date),value_as_number=AQI,attr_source_value='CO',value_source_value=AQI)""]}"
54,10142,Ozone,The Air Quality Index for the day for Ozone,7874,"{""stage_transform"":[""dplyr::filter(staged,`Defining Parameter`=='Ozone')"",""dplyr::mutate(staged,geom_join_column=paste0(stringr::str_pad(`State Code`,width=2,pad=0),stringr::str_pad(`County Code`,width=3,pad=0)),attr_start_date=as.Date(Date),attr_end_date=as.Date(Date),value_as_number=AQI,attr_source_value='Ozone',value_source_value=AQI)""]}"
44,10142,PM10,The Air Quality Index for the day for PM10,7874,"{""stage_transform"":[""dplyr::filter(staged,`Defining Parameter`=='PM10')"",""dplyr::mutate(staged,geom_join_column=paste0(stringr::str_pad(`State Code`,width=2,pad=0),stringr::str_pad(`County Code`,width=3,pad=0)),attr_start_date=as.Date(Date),attr_end_date=as.Date(Date),value_as_number=AQI,attr_source_value='PM10',value_source_value=AQI)""]}"
34,10142,PM2.5,The Air Quality Index for the day for PM2.5,7874,"{""stage_transform"":[""dplyr::filter(staged,`Defining Parameter`=='PM2.5')"",""dplyr::mutate(staged,geom_join_column=paste0(stringr::str_pad(`State Code`,width=2,pad=0),stringr::str_pad(`County Code`,width=3,pad=0)),attr_start_date=as.Date(Date),attr_end_date=as.Date(Date),value_as_number=AQI,attr_source_value='PM2.5',value_source_value=AQI)""]}"
65,10153,NO2,The Air Quality Index for the day for NO2,7875,"{""stage_transform"":[""dplyr::filter(staged,`Defining Parameter`=='NO2')"",""dplyr::mutate(staged,geom_join_column=paste0(stringr::str_pad(`State Code`,width=2,pad=0),stringr::str_pad(`County Code`,width=3,pad=0)),attr_start_date=as.Date(Date),attr_end_date=as.Date(Date),value_as_number=AQI,attr_source_value='NO2',value_source_value=AQI)""]}"
75,10153,CO,The Air Quality Index for the day for CO,7875,"{""stage_transform"":[""dplyr::filter(staged,`Defining Parameter`=='CO')"",""dplyr::mutate(staged,geom_join_column=paste0(stringr::str_pad(`State Code`,width=2,pad=0),stringr::str_pad(`County Code`,width=3,pad=0)),attr_start_date=as.Date(Date),attr_end_date=as.Date(Date),value_as_number=AQI,attr_source_value='CO',value_source_value=AQI)""]}"
55,10153,Ozone,The Air Quality Index for the day for Ozone,7875,"{""stage_transform"":[""dplyr::filter(staged,`Defining Parameter`=='Ozone')"",""dplyr::mutate(staged,geom_join_column=paste0(stringr::str_pad(`State Code`,width=2,pad=0),stringr::str_pad(`County Code`,width=3,pad=0)),attr_start_date=as.Date(Date),attr_end_date=as.Date(Date),value_as_number=AQI,attr_source_value='Ozone',value_source_value=AQI)""]}"
45,10153,PM10,The Air Quality Index for the day for PM10,7875,"{""stage_transform"":[""dplyr::filter(staged,`Defining Parameter`=='PM10')"",""dplyr::mutate(staged,geom_join_column=paste0(stringr::str_pad(`State Code`,width=2,pad=0),stringr::str_pad(`County Code`,width=3,pad=0)),attr_start_date=as.Date(Date),attr_end_date=as.Date(Date),value_as_number=AQI,attr_source_value='PM10',value_source_value=AQI)""]}"
35,10153,PM2.5,The Air Quality Index for the day for PM2.5,7875,"{""stage_transform"":[""dplyr::filter(staged,`Defining Parameter`=='PM2.5')"",""dplyr::mutate(staged,geom_join_column=paste0(stringr::str_pad(`State Code`,width=2,pad=0),stringr::str_pad(`County Code`,width=3,pad=0)),attr_start_date=as.Date(Date),attr_end_date=as.Date(Date),value_as_number=AQI,attr_source_value='PM2.5',value_source_value=AQI)""]}"
66,10164,NO2,The Air Quality Index for the day for NO2,7876,"{""stage_transform"":[""dplyr::filter(staged,`Defining Parameter`=='NO2')"",""dplyr::mutate(staged,geom_join_column=paste0(stringr::str_pad(`State Code`,width=2,pad=0),stringr::str_pad(`County Code`,width=3,pad=0)),attr_start_date=as.Date(Date),attr_end_date=as.Date(Date),value_as_number=AQI,attr_source_value='NO2',value_source_value=AQI)""]}"
76,10164,CO,The Air Quality Index for the day for CO,7876,"{""stage_transform"":[""dplyr::filter(staged,`Defining Parameter`=='CO')"",""dplyr::mutate(staged,geom_join_column=paste0(stringr::str_pad(`State Code`,width=2,pad=0),stringr::str_pad(`County Code`,width=3,pad=0)),attr_start_date=as.Date(Date),attr_end_date=as.Date(Date),value_as_number=AQI,attr_source_value='CO',value_source_value=AQI)""]}"
56,10164,Ozone,The Air Quality Index for the day for Ozone,7876,"{""stage_transform"":[""dplyr::filter(staged,`Defining Parameter`=='Ozone')"",""dplyr::mutate(staged,geom_join_column=paste0(stringr::str_pad(`State Code`,width=2,pad=0),stringr::str_pad(`County Code`,width=3,pad=0)),attr_start_date=as.Date(Date),attr_end_date=as.Date(Date),value_as_number=AQI,attr_source_value='Ozone',value_source_value=AQI)""]}"
46,10164,PM10,The Air Quality Index for the day for PM10,7876,"{""stage_transform"":[""dplyr::filter(staged,`Defining Parameter`=='PM10')"",""dplyr::mutate(staged,geom_join_column=paste0(stringr::str_pad(`State Code`,width=2,pad=0),stringr::str_pad(`County Code`,width=3,pad=0)),attr_start_date=as.Date(Date),attr_end_date=as.Date(Date),value_as_number=AQI,attr_source_value='PM10',value_source_value=AQI)""]}"
