concept_class_id,concept_class_name,concept_class_concept_id
Domain,Domain,44819025
Location,Environment or Geographical Location,44819011
Relationship,OMOP Relationship,44819274
Vocabulary,OMOP Vocabulary,44819279
Concept Class,OMOP Concept Class,44819247
Metadata,Metadata,32674
Geometry Item,Geometry Item,2147483643
SDOH Geo Item,SDOH Geo Item,2147483642
AHRQ Determinant,AHRQ Determinant,2147483641
SDOH Construct,SDOH Construct,2147483640
AHRQ Item,AHRQ Item,2147483639
SVI Construct,SVI Construct,2147483638
GeometryRelationship,GeometryRelationship,2147483637
SDOH Item,SDOH Item,2147483636
SVI Geo Item,SVI Geo Item,2147483635
AHRQ Geo Item,AHRQ Geo Item,2147483634
SDOH Value,SDOH Value,2147483633
SDOHO Geo Item,SDOHO Geo Item,2147483632
SDOHO Value,SDOHO Value,2147483631
SVI Determinant,SVI Determinant,2147483630
Geometry Type,Geometry Type,2147483629
SDOH,SDOH,2147483628
SVI Item,SVI Item,2147483627
SDOH Determinant,SDOH Determinant,2147483626
AHRQ Construct,AHRQ Construct,2147483625
SDOHO Construct,SDOHO Construct,2147483624
OMOP GIS,OMOP GIS,2147483623
SDOHO Determinant,SDOHO Determinant,2147483622
SDOHO Item,SDOHO Item,2147483621